160,-5.22035e+06,4.55635e+06,-470944,-3.91217,138.885,567045,1318.96,747.196,-7503.83
170,-5.20685e+06,4.56354e+06,-545953,-4.5364,138.767,567155,1381.85,691.139,-7497.76
180,-5.19272e+06,4.57017e+06,-620896,-5.16058,138.649,567269,1444.49,634.91,-7490.79
190,-5.17796e+06,4.57624e+06,-695766,-5.78473,138.53,567387,1506.87,578.518,-7482.93
200,-5.16258e+06,4.58174e+06,-770552,-6.40884,138.411,567509,1569,521.968,-7474.17
210,-5.14658e+06,4.58667e+06,-845246,-7.0329,138.292,567636,1630.85,465.269,-7464.52
220,-5.12996e+06,4.59104e+06,-919839,-7.65691,138.173,567766,1692.42,408.428,-7453.97
230,-5.11273e+06,4.59484e+06,-994323,-8.28088,138.054,567900,1753.7,351.451,-7442.54
240,-5.09489e+06,4.59807e+06,-1.06869e+06,-8.90478,137.934,568039,1814.69,294.346,-7430.22
250,-5.07644e+06,4.60073e+06,-1.14292e+06,-9.52863,137.814,568181,1875.38,237.121,-7417.02
260,-5.05738e+06,4.60281e+06,-1.21702e+06,-10.1524,137.694,568327,1935.76,179.782,-7402.93
270,-5.03773e+06,4.60432e+06,-1.29098e+06,-10.7761,137.574,568477,1995.82,122.336,-7387.95
280,-5.01747e+06,4.60526e+06,-1.36478e+06,-11.3998,137.453,568631,2055.56,64.7924,-7372.1
290,-4.99662e+06,4.60562e+06,-1.43842e+06,-12.0234,137.332,568788,2114.96,7.15703,-7355.36
300,-4.97517e+06,4.6054e+06,-1.51189e+06,-12.6469,137.21,568950,2174.03,-50.5624,-7337.75
310,-4.95314e+06,4.60461e+06,-1.58517e+06,-13.2704,137.088,569115,2232.76,-108.358,-7319.26
320,-4.93052e+06,4.60324e+06,-1.65827e+06,-13.8937,136.966,569283,2291.13,-166.224,-7299.9
330,-4.90731e+06,4.60128e+06,-1.73117e+06,-14.517,136.843,569456,2349.14,-224.151,-7279.67
340,-4.88353e+06,4.59875e+06,-1.80386e+06,-15.1402,136.72,569631,2406.78,-282.132,-7258.57
350,-4.85918e+06,4.59564e+06,-1.87634e+06,-15.7633,136.597,569811,2464.06,-340.161,-7236.61
360,-4.83425e+06,4.59195e+06,-1.94859e+06,-16.3864,136.472,569993,2520.95,-398.228,-7213.78
370,-4.80876e+06,4.58768e+06,-2.02061e+06,-17.0093,136.348,570179,2577.45,-456.328,-7190.1
380,-4.78271e+06,4.58282e+06,-2.09239e+06,-17.6321,136.223,570368,2633.56,-514.452,-7165.56
390,-4.75609e+06,4.57739e+06,-2.16392e+06,-18.2549,136.097,570561,2689.27,-572.593,-7140.16
400,-4.72892e+06,4.57137e+06,-2.23519e+06,-18.8775,135.971,570756,2744.57,-630.744,-7113.92
410,-4.7012e+06,4.56477e+06,-2.30619e+06,-19.5,135.844,570955,2799.46,-688.896,-7086.83
420,-4.67294e+06,4.55759e+06,-2.37692e+06,-20.1224,135.716,571157,2853.93,-747.043,-7058.89
430,-4.64413e+06,4.54983e+06,-2.44737e+06,-20.7447,135.588,571361,2907.97,-805.176,-7030.12
440,-4.61478e+06,4.54149e+06,-2.51752e+06,-21.3669,135.459,571569,2961.58,-863.289,-7000.51
450,-4.58489e+06,4.53257e+06,-2.58738e+06,-21.989,135.329,571779,3014.75,-921.373,-6970.06
460,-4.55448e+06,4.52306e+06,-2.65692e+06,-22.611,135.198,571992,3067.47,-979.422,-6938.79
470,-4.52355e+06,4.51298e+06,-2.72615e+06,-23.2328,135.067,572208,3119.74,-1037.43,-6906.69
